metric,n_seeds,baseline_mean,treatment_mean,mean_diff,median_diff,relative_effect_pct,signed_relative_effect_pct,cohens_d,bootstrap_ci_95_lo,bootstrap_ci_95_hi,ci_excludes_zero,wilcoxon_stat,wilcoxon_p,paired_ttest_stat,paired_ttest_p,practically_significant_improvement,pricing_policy,dispatch_policy,role
p90_wait_min,24,10.25,9.445833333333326,-0.8041666666666742,-1.0,-7.845528455284627,7.845528455284627,-1.432364213952703,-1.029166666666678,-0.5833333333333334,True,0.0,6.376462691264562e-05,-7.017122900013672,3.764597734821513e-07,True,NO_SURGE,ETA_OPTIMIZED,primary
avg_wait_min,24,4.234381312171579,4.219161145981082,-0.015220166190497616,-0.006240372635383906,-0.35944250336519734,0.35944250336519734,-0.14047035824517534,-0.05887043742466002,0.025127716707059888,False,132.0,0.6230943202972412,-0.6881614033732709,0.49823368972479853,False,NO_SURGE,ETA_OPTIMIZED,secondary
completion_rate,24,0.5534600215441546,0.5670511706238189,0.013591149079664246,0.014532156667073581,2.4556695245566087,2.4556695245566087,1.8341200954717691,0.01056935595352505,0.016356057851485112,True,5.0,1.1920928955078125e-06,8.985316721781203,5.529004693210002e-09,False,NO_SURGE,ETA_OPTIMIZED,secondary
cancellation_rate,24,0.21722005380082474,0.20505212566394523,-0.01216792813687948,-0.012642127382600898,-5.60165966446017,5.60165966446017,-2.0737029199361188,-0.014370653972299615,-0.009810871182778645,True,1.0,2.384185791015625e-07,-10.1590280639261,5.671592430671797e-10,True,NO_SURGE,ETA_OPTIMIZED,secondary
earnings_per_online_hour_mean,24,152.52407121942304,155.53604331845725,3.011972099034215,2.8252882688578325,1.9747519686260893,1.9747519686260893,1.5393386609613442,2.269427741499434,3.794130567097076,True,3.0,5.960464477539062e-07,7.5411885213888095,1.163623139504117e-07,False,NO_SURGE,ETA_OPTIMIZED,guardrail
driver_utilization_mean,24,0.5720418896200853,0.5631643895959203,-0.00887750002416506,-0.008861359807287972,-1.551896842740126,-1.551896842740126,-2.0397531010013714,-0.010542122160856773,-0.007159851626747932,True,1.0,2.384185791015625e-07,-9.992708597426079,7.750548051397521e-10,False,NO_SURGE,ETA_OPTIMIZED,guardrail
platform_revenue,24,90379.77250093967,92770.52054217928,2390.7480412396303,2416.008068189214,2.645224672605559,2.645224672605559,1.9348965440070995,1901.7801000966736,2868.0825478428346,True,2.0,3.5762786865234375e-07,9.479018475784022,2.0774160632615466e-09,False,NO_SURGE,ETA_OPTIMIZED,guardrail
p90_wait_min,24,10.25,10.204166666666671,-0.04583333333332947,0.0,-0.44715447154467775,0.44715447154467775,-0.1007536745078879,-0.21249999999999614,0.125,False,4.5,0.3961439091520741,-0.4935901845095727,0.6262761011221231,False,NO_SURGE,DRIVER_EARNINGS_AWARE,primary
avg_wait_min,24,4.234381312171579,4.195094385683424,-0.039286926488155606,-0.04345768826634089,-0.9278079509567722,0.9278079509567722,-0.622791879383416,-0.06401610914118758,-0.014735196182605917,True,57.0,0.006516098976135254,-3.051044640876672,0.005666986951238373,False,NO_SURGE,DRIVER_EARNINGS_AWARE,secondary
completion_rate,24,0.5534600215441546,0.5543588787236146,0.0008988571794599845,0.0013665860906783012,0.1624068847741109,0.1624068847741109,0.15175546284517383,-0.0014424562887040606,0.003143379576092124,False,123.0,0.45587432384490967,0.7434468993011341,0.4647384107523969,False,NO_SURGE,DRIVER_EARNINGS_AWARE,secondary
cancellation_rate,24,0.21722005380082474,0.2164507854174864,-0.0007692683833382986,-0.001506065805000456,-0.35414243292825204,0.35414243292825204,-0.17750972617912303,-0.0024784819201381816,0.0009499617318403522,False,123.0,0.45587432384490967,-0.8696165070400249,0.3934951272001768,False,NO_SURGE,DRIVER_EARNINGS_AWARE,secondary
earnings_per_online_hour_mean,24,152.52407121942304,155.6109644095618,3.086893190138767,3.131767219684292,2.0238727995254755,2.0238727995254755,1.4445184444724306,2.2460194288811834,3.9191119640865026,True,6.0,1.6689300537109375e-06,7.0766662259926605,3.288506403906317e-07,False,NO_SURGE,DRIVER_EARNINGS_AWARE,guardrail
driver_utilization_mean,24,0.5720418896200853,0.5813211508385118,0.009279261218426385,0.008230214606295916,1.6221296703619195,1.6221296703619195,1.6048972160847306,0.007041324384120498,0.01151781037203099,True,2.0,3.5762786865234375e-07,7.862358538041652,5.7693021507389295e-08,False,NO_SURGE,DRIVER_EARNINGS_AWARE,guardrail
platform_revenue,24,90379.77250093967,90521.68697475597,141.91447381632193,259.99029624747345,0.15702017153765957,0.15702017153765957,0.1518535985916592,-224.52056469101652,498.6278676545823,False,122.0,0.4389305114746094,0.7439276643099666,0.46445310049197186,False,NO_SURGE,DRIVER_EARNINGS_AWARE,guardrail
p90_wait_min,24,10.25,10.329166666666671,0.07916666666667053,0.0,0.7723577235772735,-0.7723577235772735,0.1932573704722856,-0.08333333333333333,0.25,False,4.5,0.3961439091520741,0.9467638933782246,0.35360071029630324,False,NO_SURGE,MARKETPLACE_AWARE,primary
