pricing_policy,dispatch_policy,p90_wait_min,earnings_per_online_hour_mean,cancellation_rate,platform_revenue,north_star,completion_rate,meets_p90_guardrail,meets_earnings_guardrail,meets_cancellation_guardrail,meets_revenue_guardrail,meets_all_guardrails,baseline_p90_wait_min,baseline_earnings_per_online_hour_mean,baseline_cancellation_rate,baseline_platform_revenue
CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,9.333333333333334,158.19140995954174,0.1920131535880608,94498.83712110792,1.993580166348976,0.5675084029363774,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
BASIC_SURGE,ETA_OPTIMIZED,9.333333333333334,156.66749166085665,0.1957726179987318,93493.44111716341,1.9900535666524857,0.5668697133878958,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
NO_SURGE,ETA_OPTIMIZED,9.445833333333326,155.53604331845725,0.20505212566394523,92770.52054217929,1.9898890334632124,0.5670511706238189,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
AGGRESSIVE_SURGE,ETA_OPTIMIZED,8.375,163.95725497921424,0.15422658308134396,97698.88907296292,1.9666427119031065,0.5594428833215258,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
CAPPED_SMOOTHED_SURGE,MARKETPLACE_AWARE,10.070833333333345,156.0408099581876,0.20072176629974772,92573.69873838291,1.955731673007582,0.5552841752623979,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
BASIC_SURGE,MARKETPLACE_AWARE,10.125,154.37195249981627,0.20502782686956877,91498.89546468767,1.9540933106467226,0.5548580462397241,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
NO_SURGE,DRIVER_EARNINGS_AWARE,10.204166666666671,155.6109644095618,0.2164507854174864,90521.68697475597,1.9536339252341126,0.5543588787236147,True,True,False,True,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
CAPPED_SMOOTHED_SURGE,DRIVER_EARNINGS_AWARE,10.041666666666666,158.27474849274714,0.20135281450005085,92183.69112003669,1.9531897762774018,0.5542320206141359,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
NO_SURGE,MARKETPLACE_AWARE,10.329166666666671,152.93335007904187,0.2165244599588532,90599.26507391664,1.9526783393078968,0.5544825467133621,False,True,False,True,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
BASIC_SURGE,DRIVER_EARNINGS_AWARE,10.0,156.35010562349677,0.2059773126074158,91069.56968437851,1.9494314710906844,0.5531807224081766,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
NO_SURGE,NEAREST_DRIVER,10.25,152.52407121942304,0.21722005380082468,90379.77250093965,1.9492137125584608,0.5534600215441546,True,True,False,True,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
CAPPED_SMOOTHED_SURGE,NEAREST_DRIVER,10.166666666666666,155.50435476758418,0.20233575558774974,92091.99562215373,1.9480210647930454,0.5531777916418187,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
BASIC_SURGE,NEAREST_DRIVER,10.25,153.71087078090954,0.20557053491356211,91043.27256059698,1.9476566495904233,0.5529812377666322,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
AGGRESSIVE_SURGE,MARKETPLACE_AWARE,9.333333333333334,162.27607445682338,0.1610345709253293,96394.58776709031,1.944349601495652,0.5519766201780645,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
AGGRESSIVE_SURGE,DRIVER_EARNINGS_AWARE,9.325000000000008,164.73420748524947,0.16183719381286552,96283.69144727568,1.9438507201272568,0.5514523317856059,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
AGGRESSIVE_SURGE,NEAREST_DRIVER,9.4375,162.07387989700877,0.16274439054839454,96225.25813603944,1.9409800923939542,0.550978476934556,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
CAPPED_SMOOTHED_SURGE,ADVANCED_HEURISTIC,10.75,146.85610228518297,0.2158010480745918,86915.77689247292,1.8546049148196035,0.526923676177296,False,False,True,False,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
BASIC_SURGE,ADVANCED_HEURISTIC,10.708333333333334,145.87597862815795,0.2201573484235624,86152.35485103006,1.8449491025165983,0.524329722336983,False,False,False,False,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
NO_SURGE,ADVANCED_HEURISTIC,10.791666666666666,144.97356335917505,0.2289299638742103,85674.89564712105,1.8415202477931965,0.5234031084903819,False,False,False,False,False,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,10.216666666666677,152.40001172213272,0.18433973650185842,90229.39765842537,1.8405306901528338,0.5226844338610983,True,True,True,True,True,10.25,153.71087078090954,0.20557053491356211,91043.27256059698
